SHOW NAME,COUNTRY/REGION,YEAR,EPISODES,RATINGS,SUMMARY,POSTER
KHON DEE TEE NHAI,Thailand,2018,14,7.7,"Youtube variety show starring the Thug Life gang (James Jirayu, Great Warintorn, Boy Pakorn, Alek Teeradetch and Peck Premmanat).",https://i.mydramalist.com/jrwNwc.jpg
THE FACE THAILAND: SEASON 1,Thailand,2014,13,,The Face is a Thai reality television modelling competition series aired on Channel 3. (Source: Wikipedia),https://i.mydramalist.com/PWKB3c.jpg
THE FACE THAILAND: SEASON 2,Thailand,2015,13,7,The Face is a Thai reality television modelling competition series aired on Channel 3. (Source: Wikipedia),https://i.mydramalist.com/Vb2eEc.jpg
THE FACE THAILAND: SEASON 3,Thailand,2017,13,7.3,The Face is a Thai reality television modelling competition series aired on Channel 3. (Source: Wikipedia),https://i.mydramalist.com/xEN1yc.jpg
THE FACE THAILAND: SEASON 4,Thailand,2018,13,8,The Face is a Thai reality television modelling competition series aired on Channel 3. (Source: Wikipedia),https://i.mydramalist.com/Ld8jyc.jpg
3 ZAAAP,Thailand,2013,,,"Channel 3 talk show hosted by Chompoo Araya, Patcharasri Benjamas and Ornapha Krisadee. Each episode features different guests.",https://i.mydramalist.com/PWKj8c.jpg
MR. HOUSE HUSBAND: SEASON 2,South Korea,2017,200,8.6,,https://i.mydramalist.com/0OEPrc.jpg
TAKE CARE OF MY DAD,South Korea,2015,33,,"“Take Care of My Dad” is a reality show about celebrity fathers in their 50’s, such as actors Jo Jae Hyun, Kang Suk Woo, Jo Min Gi, and show MC Lee Kyung Gyu, interacting with their daughters in their 20’s. While…",https://i.mydramalist.com/ndDkEc.jpg
CAFE AMOR,South Korea,2018,,9,"A celebrity cafe crew, including Yoo In Na, Lee Juck, Yang Se Hyung and Rowoon, set up a cafe to cater to people who have reserved a blind date. Participants chosen online would be paired up with their ideal types for…",https://i.mydramalist.com/6ykXjc.jpg
NOGIZAKA UNDER CONSTRUCTION,Japan,2015,210,9.4,"Nogizaka Under Construction is Nogizaka46's current weekly variety show. It is hosted by the comedy duo, ""Bananaman,"" and airs every Sunday night. It was the immediate successor to their previous variety show, Nogizakatte,…",https://i.mydramalist.com/ZgXVWc.jpg
NOGIBINGO! 2,Japan,2014,12,8.2,Second season of NogiBingo! With Second Generation Members (2期生),https://i.mydramalist.com/ndDeLc.jpg
SHAKE IT UP,China,2018,11,8.4,Reality dance competition,https://i.mydramalist.com/lyNkvc.jpg
THE COMING ONE 2,China,2018,12,8.1,,https://i.mydramalist.com/xQyv0c.jpg
HIDDEN SINGER: SEASON 5,South Korea,2018,17,8.2,"After three years, Hidden Singer returns with a fifth season. Hosted by Jun Hyun Moo, each episode features a famous singer who competes against five copycat singers, with a 100-member audience casting votes for who…",https://i.mydramalist.com/zEABAc.jpg
AGENT WEST,Japan,2016,92,8.7,"Join the seven members of Johnny's WEST as they take on missions given to them by the masked MC! In the first few episodes, two or three members challenge various tasks, while in later episodes it's only one person,…",https://i.mydramalist.com/zEAvAc.jpg
NINOSAN,Japan,2013,,8.7,"In Ninosan, the greatest strength (and also weakness) of the show is in it’s ever changing theme. Every two weeks is something totally different. If you love the theme, great! But it only lasts for two weeks. If you…",https://i.mydramalist.com/odNn6c.jpg
LAW OF THE JUNGLE IN ANTARCTICA,South Korea,2018,4,8.7,"This trip is a special project to celebrate for the 300th episode. Also, the show set a milestone by being the first Korean reality TV to successfully send a team to the Antarctic on a survival mission. In addition,…",https://i.mydramalist.com/Vbz4Ec.jpg
LAW OF THE JUNGLE IN PATAGONIA,South Korea,2018,9,8.8,,https://i.mydramalist.com/zEA7zc.jpg
LAW OF THE JUNGLE IN COOK ISLANDS,South Korea,2017,9,8.8,,https://i.mydramalist.com/odNEYc.jpg
REAL CLASS - ELEMENTARY SCHOOL,South Korea,2017,2,8.6,Foreign K-pop idol members learn Korean from elementary school children. Korean elementary school students become Korean teachers for foreign K-pop idol members for a day. Watch foreign K-pop idol members learn Korean…,https://i.mydramalist.com/ndQoxc.jpg
KEYABINGO!: SEASON 4,Japan,2018,11,7.4,"""KeyaBingo!"" is a Japanese television variety show starring Japanese idol girl group Keyakizaka46 and hosted by the Japanese comedy duo Sandwichman. Season 4 of KeyaBingo features the members of Hiragana Keyakizaka46…",https://i.mydramalist.com/zEAmAc.jpg
LAW OF THE JUNGLE IN FIJI,South Korea,2017,10,8.7,,https://i.mydramalist.com/lyNnQc.jpg
LEAVING THE NEST: SEASON 3,South Korea,2018,42,7.5,A grand escape of teenagers! Celebrity parents gain a new understanding of their children while observing the kids’ trip that is completely parents-free and cellphone-free. Children become more independent and learn…,https://i.mydramalist.com/bwOZ6c.jpg
GOT2DAY,South Korea,2015,21,9.1,A YouTube series that had each member of GOT7 participate in an open talk with each of the other members.,https://i.mydramalist.com/NrbZRc.jpg
LAW OF THE JUNGLE IN KOMODO,South Korea,2017,9,9.1,,https://i.mydramalist.com/7gdLyc.jpg
LAW OF THE JUNGLE IN WILD NEW ZEALAND,South Korea,2017,9,8.9,,https://i.mydramalist.com/5oB3Ac.jpg
LAW OF THE JUNGLE IN SUMATRA,South Korea,2017,9,9.1,,https://i.mydramalist.com/mVNJPc.jpg
LAW OF THE JUNGLE IN KOTA MANADO,South Korea,2017,9,8.8,,https://i.mydramalist.com/zEx4Pc.jpg
GOT2DAY,South Korea,2016,21,9.2,Second season of GOT2DAY. A YouTube series that had each member of GOT7 participate in an open talk with each of the other members.,https://i.mydramalist.com/33A8Ac.jpg
GOT YA! GWSN,South Korea,2018,10,8.5,"Mnet will be launching a reality program with a new format for Kiwi Media Group’s upcoming girl group GWSN. GWSN is short for the group’s Korean name, “Gong Won So Nyeo,” which is a combination of the Korean…",https://i.mydramalist.com/ndZR8c.jpg
LAW OF THE JUNGLE IN EAST TIMOR,South Korea,2016,9,9,,https://i.mydramalist.com/Jxe5oc.jpg
GOT7'S HARD CARRY,South Korea,2016,10,9.4,"GOT7’s Hard Carry, hosted by Mnet; the programme shares the same name as their title track, 'Hard Carry', released in September 2016. The series ran for ten weeks and was broadcast weekly on Mnet’s television channel…",https://i.mydramalist.com/Y0zkoc.jpg
LAW OF THE JUNGLE IN MONGOLIA,South Korea,2016,9,8.7,,https://i.mydramalist.com/NrEzAc.jpg
LAW OF THE JUNGLE IN NEW CALEDONIA,South Korea,2016,9,8.9,"The Program shows the survival period of the 26th Byung Man's Tribe in New Caledonia, The most natural environment nearest to heaven.",https://i.mydramalist.com/LdRDyc.jpg
LAW OF THE JUNGLE IN PAPUA NEW GUINEA,South Korea,2016,8,8,"The program shows the survival of 25th generation of Byung Man's Tribe in Papua New Guinea, a mysterious land with a variety of natural mysteries ranging from the Amazon jungle to the alpine zone and active volcanoes.",https://i.mydramalist.com/AYQ3Xc.jpg
LOOKING FOR TROUBLE SEASON 2: PARADISE,South Korea,2018,12,8.4,"""travel reality show where celebrities pay their way by selling odd items to locals.""",https://i.mydramalist.com/B0Q8Ac.jpg
LAW OF THE JUNGLE IN TONGA,South Korea,2016,9,8.6,,https://i.mydramalist.com/bKrlYc.jpg
LAW OF THE JUNGLE IN PANAMA,South Korea,2016,8,9.1,,https://i.mydramalist.com/5oj1Yc.jpg
AFTER SCHOOL'S BEAUTY BIBLE,South Korea,2013,29,7.5,"Women want to be beautiful all the time, but there is so much information and it's hard to find good information. This is a must guide for women who want to be beautiful. The members of After School become beauty editors…",https://i.mydramalist.com/lyAxec.jpg
THE RAP OF CHINA: SEASON 2,China,2018,13,8.2,The second season of the extremely popular show The Rap of China.,https://i.mydramalist.com/NrXoWc.jpg
SING! CHINA: SEASON 3,China,2018,13,7.7,The third season of Sing! China.,https://i.mydramalist.com/gZRPoc.jpg
TEAMGIRL,Thailand,2017,,6.5,Shopping and tasting with #TEAMGIRL that will pick the top shops and restaurants in famous places to try and review.,https://i.mydramalist.com/8p7eWc.jpg
MY LITTLE ONE,China,2018,12,8.3,"The program focuses on recording, observation, and combines the characteristics of the documentary reality show and the studio observation and interview program to show the single-person life of single male artists.…",https://i.mydramalist.com/lyAq4c.jpg
LAW OF THE JUNGLE IN SAMOA,South Korea,2015,9,9.2,,https://i.mydramalist.com/mV6B1c.jpg
LAW OF THE JUNGLE IN NICARAGUA,South Korea,2015,8,8.9,,https://i.mydramalist.com/JxLgpc.jpg
STREET FOOD FIGHTER,South Korea,2018,8,8.9,"Chef Baek Jong Won visits different cities, surfing through alleys looking for the best street food!",https://i.mydramalist.com/72XxBc.jpg
"TWICE TV ""DANCE THE NIGHT AWAY""",South Korea,2018,5,8.7,Behind the scenes of Dance the Night Away? EP by TWICE .,https://i.mydramalist.com/mV6Rqc.jpg
LOVE CATCHER,South Korea,2018,8,8.4,"“Love Catcher” is a new concept of love survival that deals with the subtle psychology of young men and women who fall in love but doubt love at the same time. Unlike traditional love programs, which only created…",https://i.mydramalist.com/LdWEgc.jpg
GOT7ING+: 7 FOR 7,South Korea,2017,4,9,"Third installment of GOT7ing. ""NO script, NO mission, NO game, NO penalty"" !",https://i.mydramalist.com/JxWkdc.jpg
GOT7: JACKSON SHOW,South Korea,2017,15,9.5,GOT7's Jackson sits down for a talk with two of the other members over food.,https://i.mydramalist.com/Y0Dooc.jpg
GOT7 X HAPPINESS TRAIN,South Korea,2017,1,9.1,GOT7 sits down for a chat on the Happiness Train.,https://i.mydramalist.com/7gWnDc.jpg
GOT7 WORKING EAT HOLIDAY IN JEJU,South Korea,2018,4,9.3,GOT7 taking a vacation to Jeju Island.,https://i.mydramalist.com/8pgpNc.jpg
GOT7 X LIEV,South Korea,2018,1,9.4,The members of GOT7 lay down and tell stories in a sleepover-themed set.,https://i.mydramalist.com/odld6c.jpg
IDOLITY: GOT7'S TMI LAB,South Korea,2017,3,9.2,"GOT7's IDOLity: GOT7’s TMI Lab, aims to discover more about the members through the completion of various strange tasks, for example, regarding athletic ability or tolerance towards spicy food",https://i.mydramalist.com/yE8Edc.jpg
COME ON ! THE BOYZ: SUMMER VACATION RPG,South Korea,2018,8,9.2,,https://i.mydramalist.com/8pgYAc.jpg
TREI TIME,South Korea,2018,10,10,K-pop trio TREI's first reality show.,https://i.mydramalist.com/33Ne4c.jpg
LAW OF THE JUNGLE: HIDDEN KINGDOM SPECIAL,South Korea,2015,7,8.8,,https://i.mydramalist.com/7gWdyc.jpg
LAW OF THE JUNGLE IN YAP,South Korea,2015,8,9.1,,https://i.mydramalist.com/ndRN4c.jpg
LAW OF THE JUNGLE IN SABAH,South Korea,2018,9,8.9,,https://i.mydramalist.com/ndyvBc.jpg
CHAO YIN ZHAN JI,China,2018,10,8.8,Chao Yin Zhan Ji is an idol partnership competitive reality show jointly produced by Tencent Video. The program focuses on finding new trends in music and music creation.,https://i.mydramalist.com/yE8Ldc.jpg
EAT JIN SEASON 1,South Korea,2015,23,9.3,"Eat Jin is a mukbang show made by Jin himself, at first he did funny blogs teaching how cook different meals named as ""Jin's Cooking Diary"", later he started recording himself eating food. (Source: BTS Wiki)",https://i.mydramalist.com/gZD1oc.jpg
SUPER JUNIOR M GUEST HOUSE,South Korea,2014,12,9.1,The show is about Super Junior-M doing a guided tour for Chinese people in South Korea. They are the landlord of the Guest House. Tudou will select some lucky fans to film Guest House with Super Junior-M members. Super…,https://i.mydramalist.com/O525xc.jpg
EAT JIN SEASON 2,South Korea,2016,16,9.3,"Eat Jin is a mukbang show made by Jin himself, at first he did funny blogs teaching how cook different meals named as ""Jin's Cooking Diary"", later he started recording himself eating food. (Source: BTS Wiki)",https://i.mydramalist.com/VbA0Qc.jpg
BAEK JONG WON'S ALLEY RESTAURANT,South Korea,2018,100,9.1,Baek Jong Won's Alley Restaurant is a South Korean cooking-variety program. It is a spin-off of cooking-variety program Baek Jong Won's Top 3 Chef King. Mr. Baek come in a target alley and help few restaurant owners…,https://i.mydramalist.com/33R4Ac.jpg
I GOT7,South Korea,2014,10,8.9,GOT7's first variety program released on television.,https://i.mydramalist.com/yEd43c.jpg
GOT7ING,South Korea,2017,3,9.2,"Second installment of GOT7ing. ""NO script, NO mission, NO game, NO penalty"" !",https://i.mydramalist.com/lynVec.jpg
LAW OF THE JUNGLE IN INDOCHINA,South Korea,2015,9,8.8,,https://i.mydramalist.com/zE86Pc.jpg
LAW OF THE JUNGLE WITH FRIENDS,South Korea,2015,8,8.6,,https://i.mydramalist.com/mV2X2c.jpg
INTRO: I AM WHO,South Korea,2018,2,9.2,"Stray Kids introduction documentary for their upcoming mini album ""I AM WHO""",https://i.mydramalist.com/O52obc.jpg
GOT7: ON THE SCENE,South Korea,2018,16,9.1,"""GOT7:On the Scene"" is a making series of GOT7.",https://i.mydramalist.com/lynDNc.jpg
PHANTACITY,China,2018,12,8.6,"PhantaCity is a brand new original variety created by Momo's exclusive title, Hunan Satellite TV and Coolbot Culture. He Jiong will be the host of the program, and the famous singer Wang Fei is a guest of the show. The…",https://i.mydramalist.com/5oX8Zc.jpg
LAW OF THE JUNGLE IN COSTA RICA,South Korea,2014,9,8.9,,https://i.mydramalist.com/bKzRNc.jpg
LOOK AT ME,China,2018,12,8.4,"Popular Chinese Actress, Yang Mi, give tips on fashion on the reality show, LOOK At Me.",https://i.mydramalist.com/JxyVlc.jpg
GOT7'S STARCAST: CONFESSION SONG,South Korea,2015,2,9.2,"After releasing ""The Confession Song"", GOT7 sits down for conversation and games.",https://i.mydramalist.com/7gjJDc.jpg
GOT7'S STARCAST: GOT IT?,South Korea,2014,1,8.8,GOT7 introduce themselves after releasing their first mini album and give a dorm tour.,https://i.mydramalist.com/yEdpdc.jpg
GOT7'S STARCAST: 7 FOR 7,South Korea,2017,6,9,"GOT7 works to release new album ""7 for 7"".",https://i.mydramalist.com/PWYq5c.jpg
GOT7'S STARCAST: HARD CARRY,South Korea,2016,2,9,Watch GOT7 as they prepare for concerts and fan-meetings.,https://i.mydramalist.com/NrnZec.jpg
GOT7'S STARCAST: IF YOU DO,South Korea,2015,2,9,"GOT7 plays word games after promoting their new song ""If You Do"".",https://i.mydramalist.com/ndYzBc.jpg
MAD TV,South Korea,2014,9,7.8,Reality show which featured the everyday lives of Madtown's members. (Source: Wikipedia),https://i.mydramalist.com/O5pYkc.jpg
HEART IS BEATING,South Korea,2013,32,9.5,"The reality show that follows several celebrities as they undergo intense training in a dangerous profession. In this first installment, the celebrities endure rigorous training to learn to become real firefighters.…",https://i.mydramalist.com/lydDLc.jpg
UNB IN JAPAN: ONB,South Korea,2018,13,9.4,UNB goes on a tour in Japan.,https://i.mydramalist.com/lyd64c.jpg
LAW OF THE JUNGLE IN SOLOMON ISLANDS,South Korea,2014,11,8.3,,https://i.mydramalist.com/5oqwyc.jpg
CHINESE RESTAURANT 2,China,2018,12,8.8,"The five cast members will use 20 days to run a Chinese Restaurant in Colmar, France.",https://i.mydramalist.com/AYV23c.jpg
COUGAR ON THE PROWL,Thailand,2016,16,8.9,"Comedy talk show where ""an auntie is hiring new faces who wanna work in her company as a star"".",https://i.mydramalist.com/Vbm4Lc.jpg
COUGAR ON THE PROWL SEASON 2,Thailand,2018,11,9,"Season 2 of the comedy talk show where ""An auntie is hiring new faces who wanna work in her company as a star""",https://i.mydramalist.com/33QmRc.jpg
LAW OF THE JUNGLE IN INDIAN OCEAN,South Korea,2014,9,8.5,,https://i.mydramalist.com/Ldb15c.jpg
LAW OF THE JUNGLE IN BORNEO: THE HUNGER GAMES,South Korea,2014,8,9.1,,https://i.mydramalist.com/Jx7gpc.jpg
LAW OF THE JUNGLE IN BRAZIL,South Korea,2014,9,9.4,,https://i.mydramalist.com/Y0rbAc.jpg
LAW OF THE JUNGLE IN MICRONESIA,South Korea,2013,10,8.2,,https://i.mydramalist.com/7g47yc.jpg
LAW OF THE JUNGLE IN SAVANNA,South Korea,2013,9,8,,https://i.mydramalist.com/bKLxVc.jpg
LAW OF THE JUNGLE IN CARIBBEAN,South Korea,2013,10,8.8,,https://i.mydramalist.com/KABgXc.jpg
LAW OF THE JUNGLE IN HIMALAYAS,South Korea,2013,10,8,,https://i.mydramalist.com/8po8Nc.jpg
DUNK OF CHINA,China,2018,12,7.5,"Jay Chou, Jeremy Lin, Li Yifeng & Guo Ailun are the basketball team leaders, gathering basketball fans from all over the world to stage the most popular basketball showdown. More than 160 young people who love basketball…",https://i.mydramalist.com/Jx7Xoc.jpg
LAW OF THE JUNGLE IN NEW ZEALAND,South Korea,2013,10,9.1,,https://i.mydramalist.com/AYqWXc.jpg
LAW OF THE JUNGLE IN AMAZON,South Korea,2012,10,8.8,,https://i.mydramalist.com/5ow2yc.jpg
LAW OF THE JUNGLE IN MADAGASCAR,South Korea,2012,12,8.3,,https://i.mydramalist.com/KAB4Dc.jpg
LAW OF THE JUNGLE IN SIBERIA,South Korea,2012,6,7.8,,https://i.mydramalist.com/RPOePc.jpg
LAW OF THE JUNGLE IN VANUATU,South Korea,2012,10,8,,https://i.mydramalist.com/X8q4wc.jpg
MAGO MAGO ARASHI,Japan,2005,125,8.3,"Mago Mago Arashi (まごまご嵐 Grandchildren Arashi) was a Japanese variety show that ran from April 9, 2005 to October 6, 2007 on Fuji TV.[1] Aired from 13:00 to 13:30 (JST), it was the third variety show on Fuji…",https://i.mydramalist.com/gZQ41c.jpg
KIM BYUNG MAN'S LAW OF THE JUNGLE,South Korea,2011,11,7.3,,https://i.mydramalist.com/7gOnDc.jpg
LAN LIFE,South Korea,2018,42,8.4,This program follows the lives of four content creators whose contents are being consumed by millions of YouTube watchers every day. Find out how they continue to satisfy their subscribers! (Source: KShow123),https://i.mydramalist.com/KAOlnc.jpg
THE NEXT BOY/GIRL BAND THAILAND,Thailand,2018,10,8,"The Next Boy/Girl Band Thailand is a Thai reality television series on the Channel 7 television network. It was premiered on 3 June 2018. The format is Dutch, The Next Boy/Girl Band Netherlands. The series was licensed…",https://i.mydramalist.com/8pOrmc.jpg
THAILAND'S NEXT TOP MODEL,Thailand,2005,13,,Thailand's Next Top Model was a Thai reality television show based on America's Next Top Model that aired in 2005. (Source: Wikipedia),https://i.mydramalist.com/kk4VOc.jpg
COOKING BEAUTIES,Hong Kong,2018,20,7.5,"A cooking TV show where three popular and beautiful women cook and get scored by a group of judges. Typically, the girls cannot cook and can be hilarious.",https://i.mydramalist.com/33OBRc.jpg
BEAUTIFUL COOKING,Hong Kong,2006,19,8.6,"A cooking TV show where popular and beautiful women are invited to cook for a panel of judges. Typically, the guests cannot cook and can be hilarious.",https://i.mydramalist.com/7gODnc.jpg
BEAUTIFUL COOKING SEASON 2,Hong Kong,2009,28,8.9,"A cooking TV show where beautiful female guests are invited to cook for a panel of judges. Typically, the guests cannot cook and can be hilarious.",https://i.mydramalist.com/lyow4c.jpg
SNUPER PLAYER,South Korea,2018,19,9,K-Pop group SNUPER's variety show.,https://i.mydramalist.com/DXOKNc.jpg
NATIONAL TREASURE,China,2017,10,9,National Treasure (Chinese: 国家宝藏) is a 2017 Chinese cultural exploration program that aired on CCTV-3 and CCTV-1 in China. The TV program is produced by Lǚ Yitao. Actor Zhang Guoli serves as the host. The Palace…,https://i.mydramalist.com/AYOVPc.jpg
REVEALING THE SECRETS OF CHINA,China,2018,105,,,https://i.mydramalist.com/rYAWEc.jpg
SKZ-TALKER 2,South Korea,2018,18,9.3,The second season of SK-Talker,https://i.mydramalist.com/xE8kjc.jpg
TWO KIDS ROOM,South Korea,2018,10,9.4,,https://i.mydramalist.com/Wbk15c.jpg
SPOT KIDS: BLACK,South Korea,2018,47,9.2,,https://i.mydramalist.com/NrJvvc.jpg
HELLO! MORNING,Japan,2000,354,9,Hello! Morning was a weekly television show starring the lead Hello! Project group Morning Musume. (Source: Hello! Project Wiki),https://i.mydramalist.com/jrnYbc.jpg
STRAY KIDS AMIGO TV,South Korea,2018,3,9.3,,https://i.mydramalist.com/RP7EYc.jpg
U10TV,South Korea,,210,10,Show on official UP10TION YT channel which takes us behind the scene of member’s everyday life.,https://i.mydramalist.com/RP7DPc.jpg
U10SECONDS,South Korea,,206,10,,https://i.mydramalist.com/jrn58c.jpg
A STYLE FOR YOU,South Korea,2015,12,8.1,"Global interactive style show is coming up to upgrade your beauty, fashion and life style! To be global style icons, 4MCs of ""A Style For You"" will work in the field to create their own unique style and become the leaders…",https://i.mydramalist.com/X8Dddc.jpg
RED VELVET - LEVEL UP! PROJECT: SEASON 3,South Korea,2018,40,9.2,Members visit different parts of the world in-between promotions,https://i.mydramalist.com/mVdmPc.jpg
THE FRIENDS IN SWITZERLAND,South Korea,2015,4,8.7,Join Korean stars Leeteuk and Ryeowook who are close friends as they journey across the beautiful Switzerland in new ‘The Friends’ travelogue series.,https://i.mydramalist.com/Jx5Jlc.jpg
NCT LIFE: ENTERTAINMENT RETREAT,South Korea,2017,6,9.1,"Super Junior's Leeteuk and Shindong follow the members of NCT Dream on their getaway, teaching them the key to success in leading an idol life along the way.",https://i.mydramalist.com/ndebxc.jpg
DOCUMENTAL: SEASON 1,Japan,2016,4,8.8,"Produced by Hitoshi Matsumoto, Documental pits ten comedians against each other. The objective is to make each other laugh in a closed room. Each contestant brings a one million yen participation fee. The last person…",https://i.mydramalist.com/kk8Ejc.jpg
NOGIBINGO! 3,Japan,2014,12,8.5,Third Season of NogiBingo!,https://i.mydramalist.com/Jx5wyc.jpg
PAJAMA FRIENDS,South Korea,2018,13,8.4,Four women who work in different fields in the industry come together for two days one night hotel vacations of different hotels in South Korea.,https://i.mydramalist.com/lyK4Jc.jpg
SKZ HONEY-TIPS,South Korea,2018,4,9.2,,https://i.mydramalist.com/RPo4Vc.jpg
MMMTV1,South Korea,2014,10,9,Mamamoo Tv season 1: The Everyday life of Beagle idols.,https://i.mydramalist.com/odKLPc.jpg
HEART SIGNAL SPECIAL,South Korea,2017,2,8.5,Participants meet panelists in a studio which discuss behind-the-scenes stories and answer questions from fans.,https://i.mydramalist.com/q2zjBc.jpg
HEART SIGNAL 2 SPECIAL,South Korea,2018,2,8.4,Participants meet panelists in a separate studio which discuss behind-the-scenes stories and answer questions from fans.,https://i.mydramalist.com/EJBBlc.jpg
MMMTV2,South Korea,2015,13,9,Mamamoo Tv season 2: The Everyday life of Beagle idols.,https://i.mydramalist.com/egAXqc.jpg
BECAUSE THIS IS MY FIRST TWENTY,South Korea,2018,12,8.4,"The show will follow Kim So Hyun's travels to the United States in order to reflect on herself as an actress, a global star, and of course, a 20-year-old woman. Kim So Hyun will reportedly depart for the U.S. sometime…",https://i.mydramalist.com/10dQQc.jpg
THE CHUL'S TOUR,South Korea,2018,6,7.8,"A new travel variety show starring Super Junior’s Kim Heechul and comedians Kim Young Cheol and Noh Hong Chul. The three “Chul” brothers will be staying at guest houses in Korea and seeing all the local attractions,…",https://i.mydramalist.com/EJqyOc.jpg
BRAVE WORLD,China,2018,12,9,"Mango TV teamed up with Netease Games to create China's first large-scale strategic competitive game reality show. Tailored by Mango's top outdoor reality show production team, and invited a group of guests with strength…",https://i.mydramalist.com/egXJEc.jpg
PERFECT TRAVEL OF GIRLFRIENDS,China,2018,8,7,"The big star outdoor travel reality show ""The Perfect Travel of Girlfriends"" was officially launched on March 4th. As the first outdoor travel reality show with the theme of female girlfriends in China. This travel reality…",https://i.mydramalist.com/odk5Yc.jpg
GIRLS FOR REST,South Korea,2018,74,9.1,"Girls' Generation - Oh!GG's variety show in France to promote their debut single ""Lil' Touch"".",https://i.mydramalist.com/Q5V17c.jpg
(G)I-DLE I-TALK,South Korea,2018,36,9.3,"(G)I-DLE I-TALK are short videos that featuring the (G)I-DLE members: Miyeon, Minnie, Soojin, Soyeon, Yuqi, and Shuhua during their Jacket Behind, MV Shooting, Performance and even their off-time interactions as they…",https://i.mydramalist.com/lypEJc.jpg
NOGIBINGO! 4,Japan,2015,12,8.5,Fourth season of NogiBingo!,https://i.mydramalist.com/xEpKrc.jpg
NOGIBINGO! 5,Japan,2015,12,8.7,Fifth Season of NogiBingo!,https://i.mydramalist.com/6yXLgc.jpg
NOGIBINGO! 6,Japan,2016,12,8.7,Sixth Season of NogiBingo!,https://i.mydramalist.com/242DOc.jpg
NOGIBINGO! 7,Japan,2016,12,8.6,Seventh Season of NogiBingo!,https://i.mydramalist.com/jrp4bc.jpg
NOGIBINGO! 8,Japan,2017,11,8.3,Eighth Season of NogiBingo! With Third Generation Members (3期生),https://i.mydramalist.com/EJzDQc.jpg
NOGIBINGO! 9,Japan,2017,12,8.3,Ninth Season of NogiBingo!,https://i.mydramalist.com/N7kbWc.jpg
YOO QUIZ ON THE BLOCK,South Korea,2018,12,8.1,"You Quiz On the Block is a new concept variety show by tvN, a quiz show that aims at spreading warmth and support to the public. With Yoo Jae-suk and Jo Se-ho entering ordinary people’s daily lives, they will randomly…",https://i.mydramalist.com/Jxr1Xc.jpg
SKE48 NO EBI-FRIDAY NIGHT,Japan,2013,12,7.9,"The program aired 12 episodes between October and December 2013. Hosted by comedian Okubo Kayoko, who as hilariously stated in the show, ""has nothing at all to do with SKE48's successes so far,"" the program has Okubo…",https://i.mydramalist.com/QNlAYc.jpg
CITY FISHERMAN,South Korea,2017,,8.5,Three celebrities known as fishing fanatics among celebrities have gathered to share their love for fishing! They will share with viewers the secret fishing spots with beautiful sceneries and must-go destinations for…,https://i.mydramalist.com/0OLgOc.jpg
ISLAND TRIO SEASON 2,South Korea,2018,12,9,"A comedian, an actress and a singer combined into a trio visiting different islands and stay with local islanders to experience the lifestyle as islanders. Season 2 of the show has been confirmed, with Kang Ho Dong to…",https://i.mydramalist.com/AYdP4c.jpg
EAT IN STYLE,South Korea,2018,8,7.1,A program to learn about different recipes using ingredients together with the star chefs. (Source: SBS),https://i.mydramalist.com/vJDk8c.jpg
YOO BYUNG JAE: DISCOMFORT ZONE,South Korea,2018,1,7.7,Daring comedian Yoo Byung-jae connects criticism he's received from the general public to some of the most touchy issues in current Korean society.,https://i.mydramalist.com/EJeQ7c.jpg
A LOOK AT MYSELF,South Korea,2015,39,8,People tend to get angry and sometimes we find it hard to keep our temper. There is a good solution to this matter; Walk a mile in someone else’s shoes! We never truly know what it feels like until we put ourselves…,https://i.mydramalist.com/Bq8Nqc.jpg
HEART SIGNAL,China,2018,10,8.3,"What can happen when complete strangers live together under one roof? A Chinese variety show that brings together a group of strangers to live together in the same house for 30 days. Guan Hong, Yang Chao Yue, Zhu Ya…",https://i.mydramalist.com/lyKl4c.jpg
LIP SYNC BATTLE THAILAND,Thailand,2017,13,9.3,,https://i.mydramalist.com/lyKn6c.jpg
THE IMMIGRATION,South Korea,2016,13,8.7,"The Immigration is a variety show that guest stars rookie and/or underrated kpop groups that are planning to go to K-Con. The group has to speak in English and the ""MCs"" speak only English to the members. The set is…",https://i.mydramalist.com/odwzEc.jpg
THE TEAM CHEF,South Korea,2018,20,10,"In this cooking competition program, Team Korea and Team Thailand battle each other with new unique recipes!",https://i.mydramalist.com/ndovLc.jpg
MMMTV3,South Korea,2017,18,9.3,Mamamoo Tv season 3: The Everyday life of Beagle idols.,https://i.mydramalist.com/136pbc.jpg
THE 100 SEASON 3,South Korea,2018,24,9.7,"Follows a 100 hours of the daily lives of ""IMFACT"" boy group as they preparing a mini concert for their fans.",https://i.mydramalist.com/Y0RQoc.jpg
THE 100 SEASON 2,South Korea,2018,24,9.7,"Follows a 100 hours of the daily lives of ""fromis_9"" girl group as they preparing a mini concert for their fans.",https://i.mydramalist.com/q203Qc.jpg
UNI.TV,South Korea,2018,8,9.1,Girl group UNI.T reality show.,https://i.mydramalist.com/X8Ymdc.jpg
URBAN LEGEND,South Korea,2018,9,6,"In this variety program featuring VR games, K-pop idols Lovelyz and WJSN investigate the mystery of urban legends in Seoul.",https://i.mydramalist.com/Y0RzKc.jpg
MMMTV4,South Korea,2018,44,10,Mamamoo Tv season 4: The Everyday life of Beagle idols.,https://i.mydramalist.com/Y0RPoc.jpg
