SHOW NAME,COUNTRY/REGION,YEAR,EPISODES,RATINGS,SUMMARY,POSTER
SHOW ME THE MONEY: SEASON 5,South Korea,2016,10,8.6,"The format of each season varies, but generally, consists of contestants going head to head in a series of challenges until only one rapper remains. The show includes a mixture of rookie and experienced rappers, with…",https://i.mydramalist.com/b2rEec.jpg
NEW JOURNEY TO THE WEST: SEASON 5,South Korea,2018,5,9.2,Each member takes one of the characters from the classic Chinese novel “Journey to the West” as they go to different destination every season.,https://i.mydramalist.com/yED8Bc.jpg
WE GOT MARRIED: SEASON 4,South Korea,2012,240,8.4,"The show pairs up Korean celebrities to show what life would be like if they were married. Each week, couples are assigned missions to complete, while interviews with the participants reveal their thoughts and feelings.",https://i.mydramalist.com/gWpxOc.jpg
SEVENTEEN'S ONE FINE DAY,South Korea,2016,9,9.3,,https://i.mydramalist.com/kEYVmc.jpg
DANCING HIGH,South Korea,2018,8,8.7,The upcoming variety show will be the first program in Korea that will feature contestants from the age of 10 to 19. It’s been described as the first Korean variety show that aims to find the best dancers in this age…,https://i.mydramalist.com/24yZ2c.jpg
KANG'S KITCHEN,South Korea,2017,6,9.1,New Journey to The West and Youn's Kitchen spin off. 5 members are traveling to Jeju-do to open up a restaurant and serving the locals and tourists.,https://i.mydramalist.com/Re15Yc.jpg
EXO'S LADDER: SEASON 1,South Korea,2018,40,9.4,"Exo's newest Reality show, where they are travel in different countries. Using a 'ladder' to help decide their situations. First Unit is EXO-CBX in Japan!",https://i.mydramalist.com/4wjgrc.jpg
SHOW ME THE MONEY: SEASON 6,South Korea,2017,10,8.7,"The format of each season varies, but generally consists of contestants going head to head in a series of challenges until only one rapper remains. The show includes a mixture of rookie and experienced rappers, with…",https://i.mydramalist.com/lO6WEc.jpg
WE GOT MARRIED GLOBAL EDITION: SEASON 2,South Korea,2014,15,8,"A global edition spinoff of the widely popular We Got Married, get to see how the on-screen virtual marriage between celebrities from different countries work out through weekly missions and candid interviews.",https://i.mydramalist.com/el26nc.jpg
I LIVE ALONE,South Korea,2013,350,8.9,This program is to recollect the daily lives of celebrities and form its unique sympathies among the singles within South Korea by showing celebrities' lives without significant filtering.,https://i.mydramalist.com/82Ln2c.jpg
MONSTA X'S RIGHT NOW!,South Korea,2016,6,9.2,The monster-like rookie [Trespass] through the music world! The seven-member attractive idol [Hero] MONSTA X who took over fan's heart in a [RUSH]! An impromptu variety show where the members choose what they want to…,https://i.mydramalist.com/Jp20Xc.jpg
UNDER19,South Korea,2018,14,8.2,"This TV show will introduce singers, rappers, dancers but also people who are able to produce music or choreography. The goal of this show is to create a new generation K-pop group with musicians having their own vision…",https://i.mydramalist.com/2xdYWc.jpg
YG TREASURE BOX,South Korea,2018,10,7.7,A survival show made by YG Entertainment which introduces all their male trainees in the agency. YG Treasure Box will determine the member selection of YG's new boy group that will debut sometime next year. There are…,https://i.mydramalist.com/ev8Vpc.jpg
REAL GOT7: SEASON 3,South Korea,2015,8,9.2,"It's the third season of the Reality Show ""Real GOT7""",https://i.mydramalist.com/pkLvec.jpg
IKON TV,South Korea,2018,11,9.4,After debuting in 2015 boy group iKON is finally getting their own show. iKON TV is produced and filmed by the members themselves.,https://i.mydramalist.com/4wDn1c.jpg
PRISON LIFE OF FOOLS,South Korea,2019,26,8.7,“Prison Life of Fools” (literal translation) is a variety show where the cast members will divide themselves into different teams and play various games to find the hidden “mafia” member. (Source: Soompi),https://i.mydramalist.com/B0E6lc.jpg
I CAN SEE YOUR VOICE: SEASON 4,South Korea,2017,19,8.8,A reality show platform which offers talented singers the chance to make their dreams of stardom a reality.,https://i.mydramalist.com/V4dDzc.jpg
INFINITE'S SHOWTIME,South Korea,2015,12,9,"Infinite's Showtime is a South Korean documentary starring the boy group Infinite. It is the sixth season of the South Korean reality show series, Showtime.",https://i.mydramalist.com/ReLgxc.jpg
BUSTED 2,South Korea,2019,,,Tackling different mysteries in each episode of this game show. (Source: Netflix),https://i.mydramalist.com/jAZQvc.jpg
NEW JOURNEY TO THE WEST: SEASON 1,South Korea,2015,23,8.8,"The four members each take one of the characters from the classic Chinese novel “Journey to the West” as they go on a 5-days and 4 night backpacking trip through Xian, China, to play various games.",https://i.mydramalist.com/gWRPnc.jpg
WHY NOT? THE DANCER,South Korea,2018,8,8.6,Dance reality show where korean idols/dancers collaborate with popular international dancers and choreographers to create new choreography. Started filming in the US on march 25th. Will start to air on may 5th.,https://i.mydramalist.com/mVzxJc.jpg
MONSTA X - RAY: SEASON 3,South Korea,2018,8,9.4,The third season of Monsta X's reality show,https://i.mydramalist.com/NrogEc.jpg
EXO 90:2014,South Korea,2014,11,8.7,EXO 90:2014 is a reality TV show where EXO members film music videos of the most popular K-pop songs in the 1990s. The 90s K-pop idols get to visit EXO and discuss music with them. S.M. Rookies (S.M. Entertainment trainees)…,https://i.mydramalist.com/gWDRWc.jpg
CRIME SCENE: SEASON 1,South Korea,2014,10,8.7,Mockup murder scene is replicated and cast and guests have to figure out who amongst them is the murderer.,https://i.mydramalist.com/NvXoyc.jpg
NEW JOURNEY TO THE WEST: SEASON 2,South Korea,2016,9,9.1,Each members take one of the characters from the classic Chinese novel “Journey to the West” as they go to a different destination every season.,https://i.mydramalist.com/vQKBZc.jpg
NEW JOURNEY TO THE WEST: SEASON 6,South Korea,2018,5,9.2,"Season 6 follows immediately after the 5th season of the show. It takes place in Hokkaido, Japan, where the theme changes from Horror Special to Fruits Special.",https://i.mydramalist.com/nE0J4c.jpg
YOUTH OVER FLOWERS : AUSTRALIA,South Korea,2017,4,9,The latest season of YOF is a spin-off production from NJTTW. Bringing Winner to Australia. The four member group will travel for 8 days and 6 nights.,https://i.mydramalist.com/rkAQDc.jpg
YOUN'S KITCHEN 2,South Korea,2018,11,8.9,"In the new season of “Youn’s Kitchen”, Park Seo Joon will join as a new member to take up a role of an intern and to open a Korean restaurant in Spain with CEO Yoon Yeo Jung, director Lee Seo Jin and assistant…",https://i.mydramalist.com/3mlnWc.jpg
WE GOT MARRIED: SEASON 2,South Korea,2008,91,8.4,"The show pairs up Korean celebrities to show what life would be like if they were married. Each week, couples have assigned missions to complete, with candid interviews of the participants to reveal their thoughts and…",https://i.mydramalist.com/LpR43c.jpg
IDOL SCHOOL,South Korea,2017,11,6.9,"Idol School is a reality girl group survival show. The program aims to form a 9 members girl group out of 41 female participants, training them in singing and dancing in the span of 11 weeks.",https://i.mydramalist.com/lOA3Nc.jpg
SISTERS SLAM DUNK: SEASON 1,South Korea,2016,33,8.6,The overarching theme of the show is the fulfillment of each member's dreams. Every episode is focused on accomplishing several tasks that would lead to the fulfillment of those dreams.,https://i.mydramalist.com/D2Lvzc.jpg
